Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG07ALE00000AFA0000S100,2022.03,639634,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG07ALE00000AFA0000S100,2022.06,677148,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG07ALE00000AFA0000S100,2022.09,689652,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG07ALE00000AFA0000S100,2022.12,709632,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG07ALE00000AFA0000S100,2023.03,708709,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG07ALE00000AFA0000S100,2023.06,712648,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG07ALE00000AFA0000S100,2023.09,722352,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2023,9
SNEQ.SG07ALE00000AFA0000S100,2023.12,720789,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2023,12
SNEQ.SG07ALE00000AFA0000S100,2024.03,716338,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2024,3
SNEQ.SG07ALE00000AFA0000S100,2024.06,720194,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2024,6
SNEQ.SG07ALE00000AFA0000S100,2024.09,710544,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2024,9
SNEQ.SG07ALE00000AFA0000S100,2024.12,714212,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2024,12
SNEQ.SG07ALE00000AFA0000S100,2025.03,718147,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2025,3
SNEQ.SG07ALE00000AFA0000S100,2025.06,717057,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA,Total financial assets,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2025,6
SNEQ.SG07ALE00000AFA0200S100,2016.06,54246,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG07ALE00000AFA0200S100,2016.09,56830,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG07ALE00000AFA0200S100,2016.12,58693,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG07ALE00000AFA0200S100,2017.03,52445,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG07ALE00000AFA0200S100,2017.06,54624,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG07ALE00000AFA0200S100,2017.09,60474,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,9
